Unique ID,Parent Unique ID,Price,Product Name,Color,Size,Quantity,Shipping,Weight,Main Image URL,Tags,Description,MSRP,Brand,Extra Image URL,Shipping Time,Extra Image URL 1,Extra Image URL 2,Extra Image URL 3,Extra Image URL 4,Extra Image URL 5,Extra Image URL 6,Extra Image URL 7,Extra Image URL 8,Extra Image URL 9,Extra Image URL 10,productid
YJSG00140-1,YJSG00140,6.9,YJSG00140 the latest fashion sunglasses hot style,Grey,,100,0,35.3,http://cdnimg.pfhoo.com/Pro/b/20170317/0685d83a-9128-469a-bf9e-5f4599cea550.jpg,YJSG00140 the latest fashion sunglasses hot style,Frame Material:Acetate;Lenses Material:Polycarbonate;Lenses Optical Attribute:UV400;Gender:Women;Style:Classic;Department Name:Adult;Lens Height:58 mm;Lens Width:60 mm;Frame Color:Black;Lenses Color:Grey;,8,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/94547766-ac3e-4f9f-83f2-6c2eb42f2501.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/c9b9f890-a994-429b-b50d-033903db8668.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/1d34bbee-0357-4516-bda0-ca760c3cf046.jpg,,,,,7660558
YJSG00140-2,YJSG00140,6.9,YJSG00140 the latest fashion sunglasses hot style,Grey,,100,0,35.3,http://cdnimg.pfhoo.com/Pro/b/20170317/0685d83a-9128-469a-bf9e-5f4599cea550.jpg,YJSG00140 the latest fashion sunglasses hot style,Frame Material:Acetate;Lenses Material:Polycarbonate;Lenses Optical Attribute:UV400;Gender:Women;Style:Classic;Department Name:Adult;Lens Height:58 mm;Lens Width:60 mm;Frame Color:Black;Lenses Color:Grey;,8,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/94547766-ac3e-4f9f-83f2-6c2eb42f2501.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/c9b9f890-a994-429b-b50d-033903db8668.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/1d34bbee-0357-4516-bda0-ca760c3cf046.jpg,,,,,7660558
YJSG00140-3,YJSG00140,6.9,YJSG00140 the latest fashion sunglasses hot style,Brown,,100,0,35.3,http://cdnimg.pfhoo.com/Pro/b/20170317/0685d83a-9128-469a-bf9e-5f4599cea550.jpg,YJSG00140 the latest fashion sunglasses hot style,Frame Material:Acetate;Lenses Material:Polycarbonate;Lenses Optical Attribute:UV400;Gender:Women;Style:Classic;Department Name:Adult;Lens Height:58 mm;Lens Width:60 mm;Frame Color:Black;Lenses Color:Grey;,8,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/94547766-ac3e-4f9f-83f2-6c2eb42f2501.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/c9b9f890-a994-429b-b50d-033903db8668.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/1d34bbee-0357-4516-bda0-ca760c3cf046.jpg,,,,,7660558
YJSG00140-4,YJSG00140,6.9,YJSG00140 the latest fashion sunglasses hot style,Brown,,100,0,35.3,http://cdnimg.pfhoo.com/Pro/b/20170317/0685d83a-9128-469a-bf9e-5f4599cea550.jpg,YJSG00140 the latest fashion sunglasses hot style,Frame Material:Acetate;Lenses Material:Polycarbonate;Lenses Optical Attribute:UV400;Gender:Women;Style:Classic;Department Name:Adult;Lens Height:58 mm;Lens Width:60 mm;Frame Color:Black;Lenses Color:Grey;,8,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/94547766-ac3e-4f9f-83f2-6c2eb42f2501.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/c9b9f890-a994-429b-b50d-033903db8668.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/1d34bbee-0357-4516-bda0-ca760c3cf046.jpg,,,,,7660558
YJSG00140-5,YJSG00140,6.9,YJSG00140 the latest fashion sunglasses hot style,Brown,,100,0,35.3,http://cdnimg.pfhoo.com/Pro/b/20170317/0685d83a-9128-469a-bf9e-5f4599cea550.jpg,YJSG00140 the latest fashion sunglasses hot style,Frame Material:Acetate;Lenses Material:Polycarbonate;Lenses Optical Attribute:UV400;Gender:Women;Style:Classic;Department Name:Adult;Lens Height:58 mm;Lens Width:60 mm;Frame Color:Black;Lenses Color:Grey;,8,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/afee4699-5306-471e-8b39-c87bb16079bf.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5c9b553f-6e25-4c58-9c6c-f1244ee3fc07.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/94547766-ac3e-4f9f-83f2-6c2eb42f2501.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/c9b9f890-a994-429b-b50d-033903db8668.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/1d34bbee-0357-4516-bda0-ca760c3cf046.jpg,,,,,7660558
YJEC00003-1,YJEC00003,2.5,,Black,,100,0,41,http://cdnimg.pfhoo.com/Pro/b/20170317/cf92659b-23eb-4e81-9ad2-aeaccae7b48b.jpg,lekani,Gender:Unisex;Item Height:53 mm;Item Length:168 mm;Item Weight:41 g;Item Width:68 mm;Pattern Type:Geometric;Color:Black;,2.9,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/9a3aa13b-aa61-409e-af97-f33c1ab2a0ab.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/9a3aa13b-aa61-409e-af97-f33c1ab2a0ab.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/74e3e669-bbb9-48e1-9bc1-4137ee338dba.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/74e3e669-bbb9-48e1-9bc1-4137ee338dba.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/d3d71b82-6913-418b-96e9-b3adf62a0a80.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/4b50dba5-00e8-4be3-8f98-9f14c2ba23ea.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5fdf22c7-4af0-4815-aff7-afaffed33813.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/dd08caea-d7f2-4b5b-a6f3-da879f88613a.jpg,,,,7660332
YJEC00003-2,YJEC00003,2.5,,Blue,,100,0,41,http://cdnimg.pfhoo.com/Pro/b/20170317/cf92659b-23eb-4e81-9ad2-aeaccae7b48b.jpg,lekani,Gender:Unisex;Item Height:53 mm;Item Length:168 mm;Item Weight:41 g;Item Width:68 mm;Pattern Type:Geometric;Color:Black;,2.9,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/9a3aa13b-aa61-409e-af97-f33c1ab2a0ab.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/9a3aa13b-aa61-409e-af97-f33c1ab2a0ab.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/74e3e669-bbb9-48e1-9bc1-4137ee338dba.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/74e3e669-bbb9-48e1-9bc1-4137ee338dba.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/d3d71b82-6913-418b-96e9-b3adf62a0a80.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/4b50dba5-00e8-4be3-8f98-9f14c2ba23ea.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5fdf22c7-4af0-4815-aff7-afaffed33813.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/dd08caea-d7f2-4b5b-a6f3-da879f88613a.jpg,,,,7660332
YJEC00003-3,YJEC00003,2.5,,Purple,,100,0,41,http://cdnimg.pfhoo.com/Pro/b/20170317/cf92659b-23eb-4e81-9ad2-aeaccae7b48b.jpg,lekani,Gender:Unisex;Item Height:53 mm;Item Length:168 mm;Item Weight:41 g;Item Width:68 mm;Pattern Type:Geometric;Color:Black;,2.9,KANISEE,http://cdnimg.pfhoo.com/Pro/b/20170317/9a3aa13b-aa61-409e-af97-f33c1ab2a0ab.jpg,5-30,http://cdnimg.pfhoo.com/Pro/b/20170317/9a3aa13b-aa61-409e-af97-f33c1ab2a0ab.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/74e3e669-bbb9-48e1-9bc1-4137ee338dba.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/74e3e669-bbb9-48e1-9bc1-4137ee338dba.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/d3d71b82-6913-418b-96e9-b3adf62a0a80.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/4b50dba5-00e8-4be3-8f98-9f14c2ba23ea.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/5fdf22c7-4af0-4815-aff7-afaffed33813.jpg,http://cdnimg.pfhoo.com/Pro/b/20170317/dd08caea-d7f2-4b5b-a6f3-da879f88613a.jpg,,,,7660332
WHQL003-4,WHQL003-4,75.5,WHQL003 Fashionable man business watch,Ivory,,100,0,110,http://cdnimg.pfhoo.com/pro/b/20160923/8fe0bf61-a70c-4e0c-8823-e9ec8e00df85.jpg,lekani,Feature:Multiple Time Zone;Gender:Men;Style:Casual;Movement:Quartz;shell material:Alloy;Box Material:No package;Watch Window Material:Hardlex;Old / New Condition:New with tags;Dial Material:Alloy;Display mode:Analog;Dial Diameter:5.5CM×5.5CM;Case Shape:Round;Band Material Type:Leather;Band Width:20mm to 29mm;watchBand Length:27CM;Clasp Type:Leather Deployment Bucket;Water Resistance Depth:No waterproof;Case Thickness:10mm;watchband Color:Blue;,87.48,OULM,http://cdnimg.pfhoo.com/pro/b/20160923/b8980b0f-c10e-4bd2-ac27-3295de16d96e.jpg,5-30,http://cdnimg.pfhoo.com/pro/b/20160923/b8980b0f-c10e-4bd2-ac27-3295de16d96e.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/1ca4de27-6662-41ab-a106-4e7b72552ad1.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/1ca4de27-6662-41ab-a106-4e7b72552ad1.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/87b9f5e8-bb25-45c5-b752-11e064d02f86.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/5d7a71a6-f2f2-4c54-a197-46704e363cd9.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/a7baf86c-8ebf-4c84-a79c-630b94872829.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/600c155c-8bb5-4401-9b7b-3aeeddab65a1.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/09fb1505-d4af-4755-82e1-0ba47be43edf.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/6514de14-b3ce-4003-87a9-3b408d3eaca6.jpg,,136811
WHQL003-3,WHQL003-3,75.5,WHQL003 Fashionable man business watch,Blue,,100,0,110,http://cdnimg.pfhoo.com/pro/b/20160923/8fe0bf61-a70c-4e0c-8823-e9ec8e00df85.jpg,lekani,Feature:Multiple Time Zone;Gender:Men;Style:Casual;Movement:Quartz;shell material:Alloy;Box Material:No package;Watch Window Material:Hardlex;Old / New Condition:New with tags;Dial Material:Alloy;Display mode:Analog;Dial Diameter:5.5CM×5.5CM;Case Shape:Round;Band Material Type:Leather;Band Width:20mm to 29mm;watchBand Length:27CM;Clasp Type:Leather Deployment Bucket;Water Resistance Depth:No waterproof;Case Thickness:10mm;watchband Color:Blue;,87.48,OULM,http://cdnimg.pfhoo.com/pro/b/20160923/b8980b0f-c10e-4bd2-ac27-3295de16d96e.jpg,5-30,http://cdnimg.pfhoo.com/pro/b/20160923/b8980b0f-c10e-4bd2-ac27-3295de16d96e.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/1ca4de27-6662-41ab-a106-4e7b72552ad1.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/1ca4de27-6662-41ab-a106-4e7b72552ad1.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/87b9f5e8-bb25-45c5-b752-11e064d02f86.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/5d7a71a6-f2f2-4c54-a197-46704e363cd9.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/a7baf86c-8ebf-4c84-a79c-630b94872829.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/600c155c-8bb5-4401-9b7b-3aeeddab65a1.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/09fb1505-d4af-4755-82e1-0ba47be43edf.jpg,http://cdnimg.pfhoo.com/pro/b/20160923/6514de14-b3ce-4003-87a9-3b408d3eaca6.jpg,,136811
